,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-555,13,7,3,35,34,9,49,63,16,27,31,35,34,0,27,108
miR-556-3p,8,6,7,64,8,13,3,14,15,9,2,22,11,9,5,55
miR-556-5p,17,9,23,202,58,3,1209,381,15,13,906,41,65,5,706,914
miR-557,1,2,5,77,0,1,11,16,9,7,4,46,5,0,5,113
miR-5571-3p,18,11,9,122,34,3,93,88,20,30,76,34,29,1,45,155
miR-5571-5p,10,1,4,73,9,1,17,11,5,1,9,29,5,2,7,73
miR-5572,9,9,17,125,14,9,174,110,15,17,165,39,22,5,144,303
miR-5579-5p,2,3,1,27,1,0,7,9,7,0,2,7,6,0,1,35
miR-558,1,5,7,50,1,1,9,9,6,3,2,26,4,0,3,44
miR-5580-3p,0,3,13,74,1,1,27,16,0,5,8,37,2,1,24,113
miR-5581-3p,6,3,9,58,3,1,13,12,3,4,6,30,2,0,8,61
miR-5581-5p,4,11,14,44,7,3,55,24,2,3,17,32,7,1,37,123
miR-5582-3p,20,9,12,311,34,11,30,227,16,16,17,49,30,4,4,524
miR-5582-5p,22,6,18,290,25,13,14,235,13,17,6,52,16,4,8,509
miR-5583-5p,2,1,4,16,2,1,4,7,9,1,0,14,3,0,0,37
miR-5584-3p,7,1,4,50,2,5,2,10,9,3,4,25,3,2,1,59
miR-5584-5p,6,7,26,52,6,0,21,18,12,17,11,26,10,4,47,75
miR-5585-3p,1524,1757,2066,1139,1414,1170,643,1045,1216,1388,674,704,1238,688,208,577
miR-5585-5p,5,1,9,55,6,5,15,17,6,9,12,23,11,1,10,90
miR-5586-3p,4,3,9,36,12,3,22,15,12,3,10,28,5,3,9,73
miR-5586-5p,1,3,4,19,2,0,2,8,8,2,0,19,6,0,1,41
miR-5587-3p,55,35,21,144,63,27,80,91,69,67,56,61,46,23,40,189
miR-5588-5p,2,4,1,32,2,1,3,10,9,2,0,12,2,1,0,48
miR-5589-3p,16,7,10,125,8,6,101,40,9,8,61,42,8,4,55,204
miR-5589-5p,14,18,16,173,8,14,12,39,24,10,8,44,9,6,9,172
miR-559,1,1,3,24,7,2,13,4,9,4,3,19,7,1,7,42
miR-5590-5p,1,3,0,21,0,1,6,3,12,0,2,13,3,1,1,26
miR-561-3p,115,55,24,394,306,54,177,510,56,110,162,113,160,32,48,911
miR-561-5p,63,30,29,370,225,41,122,451,43,68,98,83,109,22,37,964
miR-562,2,0,4,25,0,0,6,11,7,7,1,23,6,1,1,35
miR-563,42,28,16,72,60,20,52,60,44,49,32,61,46,9,40,130
miR-564,28,38,58,249,58,29,71,128,32,31,43,107,69,13,37,194
miR-566,72,95,240,184,95,66,76,130,91,87,161,75,60,45,34,109
miR-567,42,10,10,163,87,14,926,311,39,43,693,56,84,4,578,801
miR-568,3,5,1,42,14,2,55,32,15,6,41,24,16,1,36,87
miR-5680,1,1,6,10,1,1,2,4,4,1,2,16,2,1,0,37
miR-5682,20,6,11,73,102,3,540,310,37,61,405,45,115,4,319,521
miR-5684,53,76,137,245,87,36,474,316,50,94,266,61,86,14,261,314
miR-5685,19,6,18,111,19,3,134,68,19,15,76,55,22,3,80,242
miR-5687,1,0,0,22,1,3,6,2,7,3,0,18,4,0,2,35
miR-5688,0,1,5,49,11,2,258,81,6,3,183,32,10,0,163,200
miR-5689,10,10,13,53,12,1,12,16,17,4,10,32,9,2,2,63
miR-569,0,1,0,24,1,5,11,10,4,2,1,24,7,1,2,49
miR-5690,2,1,0,27,3,1,5,10,5,3,1,19,2,0,1,43
miR-5691,3,3,5,68,11,1,106,41,10,9,54,22,10,0,82,145
miR-5692a,5,1,17,70,10,1,354,118,6,1,220,34,9,3,256,313
miR-5692b,2,1,5,32,0,4,47,11,11,2,19,32,6,0,41,95
miR-5692c,1,2,6,24,1,0,13,5,5,3,3,23,8,0,8,47
miR-5693,2,1,3,26,1,6,6,12,11,3,0,28,2,0,6,75
miR-5694,49,37,29,93,92,34,72,109,64,87,78,65,69,11,45,174
miR-5695,4,2,7,20,4,3,18,7,7,4,10,20,6,0,17,76
miR-5696,2,0,2,24,0,3,10,4,6,1,1,23,1,0,0,40
miR-5697,0,1,7,13,2,2,3,5,4,1,0,16,3,0,0,36
miR-5698,21,24,12,43,14,10,12,16,15,18,15,28,20,8,8,70
miR-5699-5p,4,5,11,42,5,1,33,17,11,7,27,22,10,5,43,87
miR-5700,0,1,2,4,0,1,1,3,3,2,0,15,4,0,1,14
miR-5701,2,0,1,17,1,0,11,9,9,1,1,25,3,2,3,36
miR-5702,3,3,8,37,1,2,5,13,2,2,2,16,2,1,1,51
miR-5703,56,159,456,509,36,50,278,220,37,52,343,141,55,78,326,287
miR-5704,1,2,2,35,2,0,3,6,5,2,0,26,5,1,2,45
miR-5705,6,4,3,216,9,4,102,71,3,3,70,50,9,1,56,387
miR-5706,3,3,1,29,6,3,45,24,10,2,23,31,3,1,24,91
miR-5707,2,2,6,26,4,2,5,11,4,1,1,15,3,0,2,48
miR-571,6,1,3,39,1,5,4,8,7,1,3,27,5,1,3,58
miR-572,365,131,98,536,3154,102,8273,8108,355,1099,7787,262,2990,33,6328,8751
miR-573,3,9,2,33,5,2,6,11,8,8,2,49,8,0,2,70
miR-5739,307,236,396,693,346,325,1182,1017,262,299,1716,444,326,259,4361,1243
miR-574-3p,786,1038,1219,980,512,630,323,861,713,817,815,424,636,536,191,514
miR-574-5p,11476,6835,2959,4389,11214,6997,2330,4520,7778,9696,2166,4233,7263,1944,1061,3359
miR-575,12,38,37,153,27,25,162,82,28,39,111,57,39,13,103,214
miR-576-3p,12,17,11,39,30,7,13,13,11,14,3,33,22,9,4,61
miR-576-5p,4,1,2,37,10,1,6,10,4,5,2,10,8,1,1,41
miR-577,1,0,0,8,3,1,3,6,8,0,0,17,0,0,3,29
miR-578,1,3,3,17,2,1,2,5,9,0,3,16,2,0,3,37
miR-579-3p,2,3,3,177,8,5,8,16,11,5,3,28,6,2,2,63
miR-579-5p,8,6,12,164,5,4,11,21,9,5,5,38,5,4,4,84
miR-580-3p,8,7,11,62,24,5,228,81,11,12,113,23,21,0,125,243
miR-580-5p,6,0,4,40,7,1,16,13,8,2,9,22,14,0,5,54
miR-581,0,0,2,20,2,2,4,9,3,4,3,25,5,0,1,38
miR-582-5p,8,1,2,45,6,2,11,10,12,9,6,30,6,2,7,70
miR-583,7,5,7,77,11,2,39,37,11,4,20,32,9,1,41,107
miR-584-3p,13,12,18,226,21,8,218,129,5,14,193,49,23,4,148,357
miR-584-5p,9,14,17,124,13,5,12,31,21,12,8,22,15,3,4,162
miR-585-3p,3,1,2,15,1,0,4,7,6,0,2,13,5,0,3,36
miR-586,1,1,1,17,1,3,4,4,6,4,0,18,1,0,1,33
miR-587,3,2,2,50,1,3,40,20,7,2,11,17,6,0,24,94
miR-588,1,3,1,34,3,0,6,11,8,0,2,24,1,0,2,56
miR-589-3p,1,9,7,46,6,5,29,14,16,3,12,62,8,5,14,94
miR-589-5p,41,30,23,103,107,21,84,158,38,71,86,55,77,11,41,181
miR-590-3p,2,0,3,18,2,1,1,11,3,0,0,20,3,0,1,28
miR-590-5p,74,65,57,31,46,31,16,15,105,63,27,30,79,36,8,30
miR-591,4,2,2,22,3,1,7,18,6,2,4,18,5,0,5,55
miR-592,1,4,3,12,3,1,5,8,9,2,0,21,5,0,1,60
miR-593-3p,3,3,3,28,3,4,8,11,7,6,1,17,4,2,3,38
miR-593-5p,10,7,30,215,21,12,133,127,8,18,211,64,22,7,5540,2889
miR-595,4,3,9,71,8,2,29,90,8,4,7,48,8,2,3,105
miR-597-3p,4,4,5,63,2,5,23,18,7,4,4,32,4,1,9,111
miR-597-5p,34,11,18,111,67,16,593,196,31,58,352,50,72,5,334,501
miR-598-3p,49,24,32,57,24,9,27,34,54,24,20,40,35,8,15,78
miR-598-5p,3,4,3,92,9,1,30,33,11,4,17,53,3,1,21,165
miR-600,8,2,10,92,21,1,433,175,4,6,302,47,27,0,298,436
miR-601,1,4,3,23,2,2,4,14,9,3,2,21,5,3,2,52
miR-604,9,4,2,67,3,2,9,15,9,4,13,28,5,4,9,55
miR-605-3p,10,4,15,257,13,16,12,36,20,15,7,34,11,4,3,140
miR-605-5p,14,7,13,300,9,7,17,43,16,3,7,75,12,8,4,151
miR-606,0,0,1,22,0,2,40,16,4,3,18,19,4,2,32,76
miR-6069,803,224,133,425,3600,239,6231,8352,609,1836,7055,395,3238,77,5490,8348
miR-607,2,0,0,16,2,2,8,8,8,3,2,21,3,1,2,38
miR-6071,20,9,11,178,122,12,1591,691,16,23,1107,44,144,5,1076,1225
miR-6072,8,2,8,97,8,3,8,16,4,5,7,29,4,1,5,71
miR-6073,7,1,4,33,16,2,18,21,10,4,17,19,31,0,9,77
miR-6075,18,15,30,237,48,7,1019,878,19,34,530,65,54,9,320,558
miR-6076,87,102,78,219,42,47,79,134,26,49,72,82,54,35,234,264
miR-6078,17,7,14,132,48,15,1220,374,10,17,821,39,62,4,791,752
miR-6079,5,5,9,40,2,0,7,6,4,3,1,54,6,2,1,57
miR-608,13,16,17,248,13,11,23,69,15,10,30,49,15,4,33,277
miR-6080,944,173,54,474,8813,113,17568,19315,827,3475,17653,197,7633,4,11685,19251
miR-6081,68,56,167,535,1335,39,7194,6371,92,398,7193,271,1480,29,5886,7044
miR-6082,2,2,2,31,2,3,14,19,10,6,8,25,2,2,6,69
miR-6083,7,0,1,109,2,0,11,22,14,4,4,23,1,3,5,109
miR-6085,462,447,753,1146,452,353,706,996,310,436,956,727,591,279,18541,3472
miR-6086,101,144,217,472,78,129,165,211,75,87,211,206,106,116,3412,1264
miR-6088,26911,20069,1973,8935,21095,19262,7902,17882,18873,34059,7655,5227,27200,9832,7782,15798
miR-609,1,0,1,14,3,0,5,10,5,1,1,13,4,0,2,29
miR-610,1,3,7,21,0,4,7,7,2,4,2,11,3,1,3,41
miR-612,13,91,314,880,32,28,311,312,29,56,226,132,52,31,85,568
miR-6124,519,802,1186,1675,428,558,709,2590,353,340,7304,776,441,635,3471,1353
miR-6126,509929,692339,632980,490632,354880,634067,111144,233364,539809,640165,101319,632606,387663,708331,66987,151811
miR-6127,95,84,129,339,93,86,233,316,63,80,232,203,62,71,413,524
miR-6128,1,0,5,14,7,2,10,13,10,1,1,14,6,2,6,43
miR-6129,1,0,2,28,6,2,8,9,7,0,6,9,5,0,7,41
miR-613,1,3,1,27,5,2,15,7,4,4,6,11,5,0,2,49
miR-6130,3,1,2,21,5,1,12,14,8,2,1,26,5,4,286,125
miR-6131,8366,19243,1803,1179,11654,9956,2734,1993,10762,9860,4531,546,17671,3932,155,404
miR-6132,18,41,101,173,33,32,203,207,29,32,173,59,50,20,526,425
miR-6133,16,6,11,53,21,11,51,31,14,11,30,39,19,8,690,246
miR-6134,0,1,0,23,1,3,13,8,4,1,3,22,4,2,6,38
miR-614,23,3,13,378,140,2,1539,726,12,18,1203,74,166,3,916,1681
miR-615-3p,69,76,275,404,60,45,305,217,70,59,214,108,85,60,142,526
miR-616-3p,45,35,36,60,32,27,19,21,26,32,13,23,42,9,5,70
miR-6165,233,265,330,574,198,274,436,359,177,204,413,325,223,299,992,719
miR-616-5p,18,16,24,66,11,14,11,18,10,14,10,38,16,2,3,49
miR-617,1,3,5,57,4,1,11,7,7,0,6,27,4,3,3,73
miR-618,11,9,8,32,14,9,3,10,10,5,8,29,11,2,5,71
miR-619-3p,350,57,29,682,7060,28,18031,14522,318,1611,17696,236,6361,3,11077,17831
miR-620,3,2,3,14,1,0,1,2,7,2,3,18,2,0,2,33
miR-621,22,15,5,76,59,10,85,78,26,35,60,49,37,4,52,156
miR-622,16,25,73,1102,10,9,61,280,15,14,37,62,9,18,13,172
miR-623,49,25,19,243,300,27,3293,1794,69,110,2559,105,328,6,2518,2735
miR-624-3p,1,2,4,62,6,5,30,28,6,6,14,25,11,1,16,83
miR-624-5p,2,2,5,51,5,2,13,13,4,7,7,30,4,3,8,72
miR-625-5p,65,41,16,56,210,14,286,422,60,125,262,32,173,20,170,457
miR-626,0,0,2,28,2,0,9,11,4,5,3,21,2,1,2,62
miR-627-3p,3,1,1,23,0,2,8,8,2,1,0,18,2,0,1,36
miR-628-5p,3,1,3,14,1,3,3,10,8,2,2,13,3,2,0,42
miR-629-5p,8,27,14,24,10,9,7,12,14,18,10,28,15,7,4,42
miR-630,3,1,9,32,3,0,5,11,7,2,8,31,8,1,6,95
miR-631,41,28,59,638,29,18,69,254,26,34,80,36,46,12,28,671
miR-632,7,6,9,60,4,3,56,29,10,2,34,33,9,4,52,124
miR-633,3,3,2,18,1,0,4,6,17,4,1,16,1,1,1,33
miR-634,9,5,11,81,11,7,19,35,8,5,12,23,15,0,1,77
miR-635,35,16,28,144,40,18,36,52,48,19,23,52,26,5,13,157
miR-637,8,5,13,202,24,4,24,83,10,8,19,50,18,1,14,277
miR-640,478,267,152,468,364,272,881,511,380,371,658,595,273,218,461,734
miR-641,7,4,1,28,2,1,5,13,5,0,1,55,5,0,3,67
miR-642a-5p,4,5,4,43,4,3,11,12,2,1,3,33,4,0,1,62
miR-642b-5p,2,1,3,36,4,0,6,9,6,4,1,22,6,2,2,80
miR-643,1,1,17,54,1,1,10,8,4,2,0,23,4,0,5,86
miR-644a,3,1,2,36,2,2,15,11,5,2,5,30,9,2,3,58
miR-645,2,4,2,51,10,2,16,20,14,3,4,24,12,1,10,70
miR-646,38,10,24,252,1101,7,7299,4101,38,227,5647,54,1095,3,4441,5274
miR-647,70,31,20,119,79,22,101,81,56,61,78,55,69,23,51,175
miR-648,1188,290,115,398,9470,294,26938,24266,996,3628,21277,419,8460,86,17784,23722
miR-649,102,88,56,51,84,95,33,25,84,70,19,26,103,23,8,57
miR-6499-3p,2,2,3,38,4,0,3,5,9,0,0,21,4,0,0,54
miR-6499-5p,50,25,14,126,179,18,293,323,49,110,265,40,145,2,193,416
miR-650,25,30,83,279,58,19,810,304,13,50,514,69,69,17,481,724
miR-6500-3p,16,40,37,31,24,14,11,14,23,28,11,26,29,23,6,54
miR-6500-5p,16,11,8,140,60,6,890,347,11,28,647,84,62,3,569,792
miR-6501-3p,21,26,62,202,25,12,339,182,12,10,398,56,23,9,1014,656
miR-6501-5p,138,73,70,321,189,79,1037,422,144,159,811,180,149,36,646,1063
miR-6502-3p,2,3,3,41,2,1,4,8,7,4,0,14,4,0,2,22
miR-6502-5p,5,4,3,34,6,6,7,13,10,6,3,24,3,1,4,53
